,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,rewards
107,108,8570.0,8386.0,1,43,39.81481481481482,,0.021861587982832626,-0.09252792596817017,0.03830086439847946,-0.007963098585605621,40.750000000000014
108,109,8707.0,8406.0,1,44,40.36697247706422,,0.024620085015940495,-0.03020145744085312,0.0940103530883789,0.07890962064266205,46.335000000000015
109,110,8810.0,8460.0,1,45,40.909090909090914,,0.026878582595101622,-0.09669651836156845,1.0406935214996338,0.9923452734947205,51.58000000000001
110,111,8825.0,8602.0,1,46,41.44144144144144,,0.023707430340557282,-0.078610859811306,0.043222758919000626,0.003917329013347626,45.945000000000014
111,112,8825.0,8759.0,1,47,41.964285714285715,,0.020521205927439966,-0.12384401261806488,0.03699338436126709,-0.02492862194776535,40.16000000000001
112,113,8923.0,8818.0,1,48,42.47787610619469,,0.02296455696202532,-0.08343609422445297,1.0737807750701904,1.0320627689361572,45.35500000000001
113,114,8975.0,8923.0,1,49,42.98245614035088,,0.020105315947843535,-0.11092299222946167,0.05070383846759796,-0.0047576576471328735,40.09000000000001
114,115,9061.0,8994.0,1,50,43.47826086956522,,0.022237813884785827,-0.10907366126775742,0.14444157481193542,0.08990474045276642,45.16500000000001
115,116,9088.0,9124.0,0,50,43.103448275862064,,0.0193509028794534,-0.11079395562410355,0.031129535287618637,-0.024267442524433136,39.65000000000001
116,117,9138.0,9231.0,0,50,42.73504273504273,,0.016617504835589946,-0.01218436099588871,0.07199472188949585,0.06590253859758377,34.36500000000001
117,118,9162.0,9364.0,0,50,42.3728813559322,,0.013809295639674177,-0.0002951564674731344,0.07452124357223511,0.07437366247177124,28.820000000000007
118,119,9266.0,9417.0,0,50,42.016806722689076,,0.01617996201329535,-0.07247792184352875,0.0675051361322403,0.03126617521047592,34.07500000000001
119,120,9330.0,9510.0,0,50,41.66666666666667,,0.01349976668222119,-0.08584396541118622,0.06225540488958359,0.01933342218399048,28.93000000000001
120,121,9363.0,9634.0,0,50,41.32231404958678,,0.010863026376677468,-0.05952621251344681,0.051455579698085785,0.02169247344136238,23.47500000000001
121,122,9423.0,9731.0,0,50,40.98360655737705,,0.008389908256880739,-0.10941402614116669,0.07415276765823364,0.0194457545876503,18.29000000000001
122,123,9556.0,9755.0,0,50,40.65040650406504,,0.010839017735334246,-0.11128701269626617,0.16398486495018005,0.10834135860204697,23.835000000000008
123,124,9678.0,9790.0,0,50,40.32258064516129,,0.013196573489630301,-0.14799849689006805,0.09295756369829178,0.01895831525325775,29.270000000000007
124,125,9760.0,9865.0,0,50,40.0,,0.012985803016858921,-0.09660928696393967,0.05001034960150719,0.0017057061195373535,29.270000000000007
125,126,9825.0,9957.0,0,50,39.682539682539684,,0.012985803016858921,-0.11770104616880417,0.046679604798555374,-0.01217091828584671,29.270000000000007
126,127,9864.0,10075.0,0,50,39.37007874015748,,0.012985803016858921,-0.16744466125965118,0.10092108696699142,0.017198756337165833,29.270000000000007
127,128,9928.0,10168.0,0,50,39.0625,,0.012985803016858921,-0.15152513980865479,0.05266032740473747,-0.02310224249958992,29.270000000000007
128,129,9990.0,10263.0,0,50,38.759689922480625,,0.012985803016858921,-0.15448996424674988,0.8170477747917175,0.7398027777671814,29.270000000000007
129,130,10009.0,10401.0,0,50,38.46153846153847,,0.012985803016858921,-0.11897769570350647,0.20559121668338776,0.14610236883163452,29.270000000000007
130,131,10044.0,10523.0,0,50,38.16793893129771,,0.012985803016858921,-0.12155196815729141,0.012293491512537003,-0.048482492566108704,29.270000000000007
131,132,10115.0,10609.0,0,50,37.878787878787875,,0.012985803016858921,-0.08914397656917572,0.016301490366458893,-0.028270497918128967,29.270000000000007
132,133,10219.0,10662.0,0,50,37.59398496240601,,0.012985803016858921,-0.17929904162883759,0.06967721879482269,-0.0199723020195961,29.270000000000007
133,134,10328.0,10710.0,0,50,37.3134328358209,,0.012985803016858921,-0.08463545888662338,0.028271980583667755,-0.014045748859643936,29.270000000000007
134,135,10414.0,10781.0,0,50,37.03703703703704,,0.012985803016858921,-0.028326451778411865,0.028898388147354126,0.014735162258148193,29.270000000000007
135,136,10501.0,10851.0,0,50,36.76470588235294,,0.012985803016858921,-0.08005031198263168,0.02065339870750904,-0.0193717572838068,29.270000000000007
136,137,10565.0,10944.0,0,50,36.496350364963504,,0.012985803016858921,-0.1508355736732483,0.04295887425541878,-0.03245891258120537,29.270000000000007
137,138,10593.0,11073.0,0,50,36.231884057971016,,0.012985803016858921,-0.09478073567152023,0.038094185292720795,-0.009296182543039322,29.270000000000007
138,139,10643.0,11180.0,0,50,35.97122302158273,,0.012985803016858921,-0.14287936687469482,0.0138479582965374,-0.05759172514081001,29.270000000000007
139,140,10729.0,11251.0,0,50,35.714285714285715,,0.012985803016858921,-0.12255484610795975,0.11670210212469101,0.055424679070711136,29.270000000000007
140,141,10819.0,11318.0,0,50,35.46099290780142,,0.012985803016858921,-0.26004213094711304,0.009453674778342247,-0.12056738883256912,29.270000000000007
141,142,10913.0,11381.0,0,50,35.2112676056338,,0.012985803016858921,-0.09115500748157501,0.024705292657017708,-0.0208722110837698,29.270000000000007
142,143,10986.0,11465.0,0,50,34.96503496503497,,0.012985803016858921,-0.1700333207845688,0.024829275906085968,-0.060187384486198425,29.270000000000007
143,144,11061.0,11547.0,0,50,34.72222222222222,,0.012985803016858921,-0.11723411083221436,0.040401872247457504,-0.018215183168649673,29.270000000000007
144,145,11118.0,11647.0,0,50,34.48275862068966,,0.012985803016858921,-0.09431508183479309,0.020798323675990105,-0.02635921724140644,29.270000000000007
145,146,11227.0,11695.0,0,50,34.24657534246575,,0.012985803016858921,-0.07942809164524078,0.056002020835876465,0.016287975013256073,29.270000000000007
146,147,11287.0,11792.0,0,50,34.01360544217687,,0.012985803016858921,-0.22824092209339142,0.04028914496302605,-0.07383131980895996,29.270000000000007
147,148,11327.0,11909.0,0,50,33.78378378378378,,0.012985803016858921,-0.06239383667707443,0.017903216183185577,-0.013293702155351639,29.270000000000007
148,149,11356.0,12037.0,0,50,33.557046979865774,,0.012985803016858921,-0.08731728047132492,0.038167454302310944,-0.005491185933351517,29.270000000000007
149,150,11439.0,12111.0,0,50,33.33333333333333,,0.012985803016858921,-0.1230868399143219,0.01650366745889187,-0.04503975063562393,29.270000000000007
150,151,11580.0,12127.0,0,50,33.11258278145696,,0.012985803016858921,-0.21511220932006836,0.018410049378871918,-0.08914605528116226,29.270000000000007
151,152,11715.0,12149.0,0,50,32.89473684210527,,0.012985803016858921,-0.12311422824859619,0.017601488158106804,-0.04395562410354614,29.270000000000007
152,153,11779.0,12242.0,0,50,32.6797385620915,,0.012985803016858921,-0.09385722130537033,0.01213594526052475,-0.034792665392160416,29.270000000000007
153,154,11819.0,12359.0,0,50,32.467532467532465,,0.012985803016858921,-0.060107458382844925,0.02336123213171959,-0.006692497059702873,29.270000000000007
154,155,11922.0,12413.0,0,50,32.25806451612903,,0.012985803016858921,-0.13761547207832336,0.021167825907468796,-0.047639910131692886,29.270000000000007
155,156,12032.0,12460.0,0,50,32.05128205128205,,0.012985803016858921,-0.12109372019767761,0.01701149344444275,-0.04353536665439606,29.270000000000007
156,157,12120.0,12529.0,0,50,31.84713375796178,,0.012985803016858921,-0.15066972374916077,0.016291603446006775,-0.05904325842857361,29.270000000000007
157,158,12192.0,12614.0,0,50,31.645569620253166,,0.012985803016858921,-0.1517096757888794,0.07334475219249725,-0.002510085701942444,29.270000000000007
158,159,12284.0,12679.0,0,50,31.446540880503143,,0.012985803016858921,-0.11709101498126984,0.03399798646569252,-0.024547521024942398,29.270000000000007
